name,level,valid_from,valid_to,issued
Burundi,4,2021-08-01,2022-04-01,2021-07-12
Burundi,3,2022-05-01,,2022-04-18
Cabo Verde,1,2018-03-01,2020-08-01,2018-01-10
Cabo Verde,3,2020-09-01,2021-04-01,2020-08-17
Cabo Verde,4,2021-05-01,2021-07-01,2021-04-20
Cabo Verde,3,2021-08-01,2021-12-01,2021-07-19
Cabo Verde,2,2022-01-01,2022-01-01,2021-12-06
Cabo Verde,4,2022-02-01,2022-03-01,2022-01-18
Cabo Verde,1,2022-04-01,,2022-03-21
Cambodia,1,2018-03-01,2020-08-01,2018-01-10
Cambodia,3,2020-09-01,2020-09-01,2020-08-06
Cambodia,2,2020-10-01,2021-04-01,2020-09-14
Cambodia,3,2021-05-01,2021-05-01,2021-04-20
Cambodia,4,2021-06-01,2021-06-01,2021-05-17
Cambodia,3,2021-07-01,2021-10-01,2021-06-16
Cambodia,4,2021-11-01,2022-04-01,2021-10-12
Cambodia,1,2022-05-01,2025-07-01,2022-04-18
Cambodia,2,2025-08-01,2025-08-01,2025-07-25
Cambodia,1,2025-09-01,2025-09-01,2023-07-24
Cambodia,2,2025-10-01,,2025-07-25
Cameroon,2,2018-03-01,2020-08-01,2018-01-10
Cameroon,3,2020-09-01,2021-04-01,2020-08-06
Cameroon,4,2021-05-01,2021-05-01,2021-04-22
Cameroon,3,2021-06-01,2021-06-01,2021-05-17
Cameroon,2,2021-07-01,,2021-06-16
Canada,1,2018-03-01,2020-08-01,2018-01-10
Canada,3,2020-09-01,2021-04-01,2020-08-06
Canada,4,2021-05-01,2021-06-01,2021-04-20
Canada,3,2021-07-01,2022-01-01,2021-06-16
Canada,4,2022-02-01,2022-04-01,2022-01-10
Canada,1,2022-05-01,,2022-04-19
Cayman Islands,1,2018-03-01,2020-08-01,2018-01-10
Cayman Islands,3,2020-09-01,2021-11-01,2020-08-06
Cayman Islands,4,2021-12-01,2022-04-01,2021-11-08
Cayman Islands,3,2022-05-01,2023-01-01,2022-04-19
Cayman Islands,1,2023-02-01,,2023-01-10
Central African Republic,4,2018-07-01,,2018-05-24
Central African Republic (CAR),4,2018-03-01,2018-06-01,2018-01-10
Chad,3,2018-03-01,2021-04-01,2018-01-10
Chad,4,2021-05-01,2021-05-01,2021-04-21
Chad,3,2021-06-01,2021-12-01,2021-05-14
Chad,4,2022-01-01,2022-03-01,2021-12-20
Chad,3,2022-04-01,2026-04-01,2022-03-28
Chad,4,2026-05-01,,2026-04-28
Chile,1,2018-03-01,2019-10-01,2018-01-10
Chile,2,2019-11-01,2020-08-01,2019-10-21
Chile,3,2020-09-01,2021-04-01,2020-08-06
Chile,4,2021-05-01,2021-08-01,2021-04-21
Chile,3,2021-09-01,2022-02-01,2021-08-16
Chile,4,2022-03-01,2022-04-01,2022-01-31
Chile,2,2022-05-01,,2022-04-19
China,2,2018-03-01,2020-01-01,2018-01-22
China,4,2020-02-01,2020-09-01,2020-02-02
China,3,2020-10-01,2023-06-01,2020-09-14
China,2,2025-01-01,,2024-11-27
Colombia,2,2018-03-01,2020-08-01,2018-01-12
Colombia,4,2020-09-01,2020-10-01,2020-08-06
Colombia,3,2020-11-01,2021-04-01,2020-10-30
Colombia,4,2021-05-01,2021-09-01,2021-04-20
Colombia,3,2021-10-01,2022-01-01,2021-09-21
Colombia,4,2022-02-01,2022-03-01,2022-01-24
Colombia,3,2022-04-01,,2022-03-22
Comoros,1,2018-03-01,2018-07-01,2018-01-10
Comoros,2,2018-08-01,2019-03-01,2018-07-27
Comoros,3,2019-04-01,2019-05-01,2019-03-29
Comoros,1,2019-06-01,2020-08-01,2019-05-02
Comoros,3,2020-09-01,2021-04-01,2020-08-06
Comoros,4,2021-05-01,2021-06-01,2021-04-20
Comoros,1,2021-07-01,2021-12-01,2021-06-28
Comoros,2,2022-01-01,2022-01-01,2021-12-20
Comoros,3,2022-02-01,2022-03-01,2022-01-31
Comoros,1,2022-04-01,2024-05-01,2022-03-21
Comoros,2,2024-06-01,,2024-05-28
Congo-Brazzaville (ROC),2,2018-03-01,2018-06-01,2018-01-10
Congo-Kinshasha (DRC),3,2018-03-01,2018-06-01,2018-02-28
Costa Rica,1,2018-03-01,2020-01-01,2018-01-10
Costa Rica,2,2020-02-01,2020-08-01,2020-01-07
Costa Rica,4,2020-09-01,2020-10-01,2020-08-06
Costa Rica,3,2020-11-01,2021-04-01,2020-10-13
Costa Rica,4,2021-05-01,2021-11-01,2021-04-20
Costa Rica,3,2021-12-01,2022-01-01,2021-11-30
Costa Rica,4,2022-02-01,2022-04-01,2022-01-24
Costa Rica,2,2022-05-01,,2022-04-19
Cote d'Ivoire,2,2018-03-01,2020-08-01,2018-01-10
Cote d'Ivoire,3,2020-09-01,2020-11-01,2020-08-06
Cote d'Ivoire,2,2020-12-01,2021-02-01,2020-11-30
Cote d'Ivoire,3,2021-03-01,2021-04-01,2021-02-01
Cote d'Ivoire,4,2021-05-01,2021-05-01,2021-04-21
Cote d'Ivoire,3,2021-06-01,2023-08-01,2021-05-10
Cote d'Ivoire,2,2023-09-01,2025-08-01,2023-08-03
Croatia,1,2018-03-01,2020-08-01,2018-01-10
Croatia,3,2020-09-01,2021-04-01,2020-08-06
Croatia,4,2021-05-01,2021-07-01,2021-04-21
Croatia,3,2021-08-01,2021-10-01,2021-07-26
Croatia,4,2021-11-01,2022-04-01,2021-10-04
Croatia,1,2022-05-01,,2022-04-19
Cuba,3,2018-03-01,2018-08-01,2018-01-10
Cuba,2,2018-09-01,2020-08-01,2018-08-23
Cuba,4,2020-09-01,2021-12-01,2020-08-06
Cuba,2,2022-01-01,2022-01-01,2021-12-27
Cuba,3,2022-02-01,2022-02-01,2022-01-18
Cuba,4,2022-03-01,2022-03-01,2022-02-07
Cuba,3,2022-04-01,2022-04-01,2022-03-14
Cuba,2,2022-05-01,,2022-04-19
Curacao,1,2018-03-01,2020-08-01,2018-01-10
Curacao,3,2020-09-01,2021-04-01,2020-08-24
Curacao,4,2021-05-01,2021-06-01,2021-04-09
Curacao,2,2021-07-01,2021-08-01,2021-06-16
Curacao,4,2021-09-01,2021-11-01,2021-08-02
Curacao,3,2021-12-01,2022-01-01,2021-11-22
Curacao,4,2022-02-01,2022-04-01,2022-01-10
Curacao,1,2022-05-01,2025-08-01,2022-04-19
Curaçao,1,2025-09-01,,2024-08-19
Cyprus,1,2018-03-01,2020-08-01,2018-01-10
Cyprus,3,2020-09-01,2021-04-01,2020-08-06
Cyprus,4,2021-05-01,2021-06-01,2021-04-20
Cyprus,3,2021-07-01,2021-07-01,2021-06-16
Cyprus,4,2021-08-01,2021-10-01,2021-07-26
Cyprus,3,2021-11-01,2021-12-01,2021-10-18
Cyprus,4,2022-01-01,2022-04-01,2021-12-06
Cyprus,1,2022-05-01,2026-03-01,2022-04-19
Cyprus,3,2026-04-01,2026-05-01,2026-03-03
Cyprus,1,2026-06-01,,2026-06-01
Czech Republic,1,2018-03-01,2020-08-01,2018-01-10
Czech Republic,3,2020-09-01,2021-04-01,2020-08-06
Czech Republic,4,2021-05-01,2021-06-01,2021-04-21
Czech Republic,3,2021-07-01,2021-07-01,2021-06-16
Czech Republic,2,2021-08-01,2021-10-01,2021-07-12
Czech Republic,3,2021-11-01,2021-11-01,2021-10-12
Czech Republic,4,2021-12-01,2022-04-01,2021-11-15
Czech Republic,1,2022-05-01,2025-04-01,2022-04-19
Czechia,1,2025-05-01,,2025-04-28
Côte d'Ivoire,2,2025-09-01,2025-10-01,2024-04-08
Côte d'Ivoire (Ivory-Coast),2,2025-11-01,,2024-04-08
Democratic Republic of the Congo,3,2018-07-01,2021-04-01,2018-02-28
Democratic Republic of the Congo,4,2021-05-01,2021-11-01,2021-04-21
Democratic Republic of the Congo,3,2021-12-01,2022-02-01,2021-11-30
Democratic Republic of the Congo,4,2022-03-01,2022-03-01,2022-02-07
Democratic Republic of the Congo,3,2022-04-01,2025-01-01,2022-03-21
Democratic Republic of the Congo,4,2025-02-01,2025-08-01,2025-01-29
Democratic Republic of the Congo (D.R.C.),4,2025-09-01,2025-09-01,2025-01-29
Democratic Republic of the Congo (D.R.C.),3,2025-10-01,2026-05-01,2025-08-12
Democratic Republic of the Congo (D.R.C.),4,2026-06-01,,2026-05-17
Denmark,2,2018-03-01,2020-08-01,2018-01-10
Denmark,3,2020-09-01,2021-04-01,2020-08-06
Denmark,4,2021-05-01,2021-06-01,2021-04-20
Denmark,3,2021-07-01,2021-11-01,2021-06-16
Denmark,4,2021-12-01,2022-04-01,2021-11-22
Denmark,2,2022-05-01,,2022-04-19
Djibouti,1,2018-03-01,2020-08-01,2018-01-10
Djibouti,3,2020-09-01,2021-02-01,2020-08-06
Djibouti,2,2021-03-01,2021-04-01,2021-02-01
Djibouti,3,2021-05-01,2021-06-01,2021-04-20
Djibouti,2,2021-07-01,2021-07-01,2021-06-16
Djibouti,1,2021-08-01,2021-10-01,2021-07-19
Djibouti,3,2021-11-01,2021-11-01,2021-10-18
Djibouti,2,2021-12-01,2021-12-01,2021-11-30
Djibouti,1,2022-01-01,2022-01-01,2021-12-06
Djibouti,3,2022-02-01,2022-03-01,2022-01-24
Djibouti,2,2022-04-01,,2022-04-01
Domincan Republic,2,2018-03-01,2018-06-01,2018-01-10
Dominica,3,2018-03-01,2018-03-01,2018-01-10
Dominica,2,2018-04-01,2018-04-01,2018-03-20
Dominica,1,2018-05-01,2019-11-01,2018-04-10
Dominica,2,2019-12-01,2020-10-01,2019-11-21
Dominica,3,2020-11-01,2021-07-01,2020-10-19
Dominica,1,2021-08-01,2021-08-01,2021-07-12
Dominica,4,2021-09-01,2022-04-01,2021-08-16
Dominica,1,2022-05-01,,2022-04-19
Dominican Republic,2,2018-07-01,2020-08-01,2018-01-10
Dominican Republic,4,2020-09-01,2020-11-01,2020-08-06
Dominican Republic,3,2020-12-01,2021-04-01,2020-11-23
Dominican Republic,4,2021-05-01,2021-06-01,2021-04-20
Dominican Republic,3,2021-07-01,2021-09-01,2021-06-16
Dominican Republic,2,2021-10-01,2021-10-01,2021-09-13
Dominican Republic,3,2021-11-01,2022-01-01,2021-10-25
Dominican Republic,4,2022-02-01,2022-03-01,2022-01-24
Dominican Republic,3,2022-04-01,2022-04-01,2022-03-14
Dominican Republic,2,2022-05-01,,2022-04-20
Ecuador,1,2018-03-01,2019-04-01,2018-01-10
Ecuador,2,2019-05-01,2020-08-01,2019-04-09
Ecuador,3,2020-09-01,2021-04-01,2020-08-06
Ecuador,4,2021-05-01,2021-06-01,2021-04-20
Ecuador,3,2021-07-01,2022-01-01,2021-06-16
Ecuador,4,2022-02-01,2022-03-01,2022-01-31
Ecuador,3,2022-04-01,2022-04-01,2022-03-28
Ecuador,2,2022-05-01,2022-06-01,2022-04-19
Ecuador,3,2022-07-01,2022-07-01,2022-06-22
Ecuador,2,2022-08-01,,2022-07-11
Egypt,2,2018-03-01,2020-08-01,2018-01-10
Egypt,4,2020-09-01,2020-09-01,2020-08-06
Egypt,3,2020-10-01,2021-04-01,2020-09-21
Egypt,4,2021-05-01,2021-06-01,2021-04-21
Egypt,3,2021-07-01,2022-01-01,2021-06-16
Egypt,4,2022-02-01,2022-04-01,2022-01-18
Egypt,3,2022-05-01,2025-07-01,2022-05-02
Egypt,2,2025-08-01,2025-08-01,2025-07-15
Egypt,3,2025-09-01,2025-09-01,2024-10-15
Egypt,2,2025-10-01,,2025-07-15
El Salvador,3,2018-03-01,2019-09-01,2018-01-10
El Salvador,2,2019-10-01,2020-03-01,2019-10-01
El Salvador,3,2020-04-01,2020-06-01,2019-01-29
El Salvador,2,2020-07-01,2020-08-01,2019-10-01
El Salvador,4,2020-09-01,2020-09-01,2020-08-06
El Salvador,3,2020-10-01,2021-06-01,2020-09-14
El Salvador,2,2021-07-01,2021-08-01,2021-06-16
El Salvador,3,2021-09-01,2024-11-01,2021-08-09
El Salvador,2,2024-12-01,2025-04-01,2024-11-08
El Salvador,1,2025-05-01,,2025-04-08
Equatorial Guinea,1,2018-03-01,2020-08-01,2018-01-10
Equatorial Guinea,3,2020-09-01,2020-12-01,2020-08-06
Equatorial Guinea,2,2021-01-01,2021-04-01,2020-12-21
Equatorial Guinea,3,2021-05-01,2021-06-01,2021-04-20
Equatorial Guinea,2,2021-07-01,2021-07-01,2021-06-16
Equatorial Guinea,1,2021-08-01,2021-09-01,2021-07-19
Equatorial Guinea,3,2021-10-01,2021-12-01,2021-09-27
Equatorial Guinea,4,2022-01-01,2022-03-01,2021-12-13
Equatorial Guinea,1,2022-04-01,2023-03-01,2022-03-14
Equatorial Guinea,2,2023-04-01,,2023-03-31
Eritrea,2,2018-03-01,2020-08-01,2018-01-10
Eritrea,3,2020-09-01,2021-04-01,2020-08-06
Eritrea,4,2021-05-01,2022-04-01,2021-04-20
Eritrea,2,2022-05-01,,2022-04-18
Estonia,1,2018-03-01,2020-08-01,2018-01-10
Estonia,3,2020-09-01,2021-04-01,2020-08-06
Estonia,4,2021-05-01,2021-07-01,2021-04-20
Estonia,3,2021-08-01,2021-08-01,2021-07-06
Estonia,4,2021-09-01,2022-04-01,2021-08-30
